id,latitude,longitude,depth,vs30,condition
47157021312,35.10853255,-89.83728887,0,250,soil'
47157021530,35.05852931,-89.70856284,0,250,soil'
47157021726,35.05494078,-89.85060693,0,250,soil'
47157022024,35.0416682,-90.0155035,0,250,soil'
47157000200,35.16823926,-90.0430069,0,250,soil'
47157000800,35.17811244,-89.97292387,0,250,soil'
47157002700,35.14291403,-89.97534159,0,250,soil'
47157003500,35.12790418,-90.01351083,0,250,soil'
47157005900,35.1114641,-90.03875471,0,250,soil'
47157007500,35.09282689,-90.03186282,0,250,soil'
47157010720,35.06857108,-89.88072267,0,250,soil'
47157011700,35.11674652,-90.06489866,0,250,soil'
47157020521,35.24669902,-89.95365843,0,250,soil'
47157020610,35.17622546,-89.88514312,0,250,soil'
47157020632,35.21689316,-89.80730748,0,250,soil'
47157021112,35.1923875,-89.82643641,0,250,soil'
47157001200,35.15572326,-89.93574457,0,250,soil'
47157003000,35.13546505,-89.9540315,0,250,soil'
47157022700,35.00774992,-90.05130272,0,250,soil'
47157006800,35.10410809,-89.97665238,0,250,soil'
47157020523,35.24577443,-89.93459575,0,250,soil'
47157020621,35.19575081,-89.88121138,0,250,soil'
47157021751,35.01316021,-89.81335149,0,250,soil'
47157000300,35.1780628,-90.02968259,0,250,soil'
47157000400,35.17814234,-90.01640862,0,250,soil'
47157000700,35.16732211,-89.99575278,0,250,soil'
47157001900,35.16325805,-90.02329019,0,250,soil'
47157002600,35.14809047,-90.00397033,0,250,soil'
47157003300,35.12818515,-89.99860865,0,250,soil'
47157020542,35.19752267,-89.90687505,0,250,soil'
47157020651,35.21273704,-89.87875346,0,250,soil'
47157021111,35.17797961,-89.85260165,0,250,soil'
47157021136,35.1665819,-89.76866864,0,250,soil'
47157022321,35.04356741,-90.05495535,0,250,soil'
47157004600,35.12858639,-90.02802198,0,250,soil'
47157005800,35.11171828,-90.05117292,0,250,soil'
47157006400,35.11259049,-89.99841985,0,250,soil'
47157006900,35.09552966,-89.97979837,0,250,soil'
47157007900,35.10133502,-89.95949664,0,250,soil'
47157008800,35.17133009,-89.92519639,0,250,soil'
47157009800,35.15887007,-89.89686258,0,250,soil'
47157010610,35.07095494,-89.91867343,0,250,soil'
47157010710,35.07178341,-89.89546314,0,250,soil'
47157021420,35.10666118,-89.81355143,0,250,soil'
47157021611,35.05980432,-89.67728383,0,250,soil'
47157021725,35.06422564,-89.85091555,0,250,soil'
47157021746,35.03934884,-89.83749205,0,250,soil'
47157021752,35.00008541,-89.81311301,0,250,soil'
47157022111,35.02831347,-90.02617958,0,250,soil'
47157022220,35.06597607,-90.07492091,0,250,soil'
47157009902,35.20404681,-90.03953814,0,250,soil'
47157007100,35.12429535,-89.96561709,0,250,soil'
47157020642,35.26050918,-89.81116465,0,250,soil'
47157001500,35.15295884,-89.97414766,0,250,soil'
47157004200,35.14431021,-90.0582121,0,250,soil'
47157011800,35.09434166,-89.92402882,0,250,soil'
47157021140,35.12278843,-89.78664087,0,250,soil'
47157022322,35.02796181,-90.05501828,0,250,soil'
47157021721,35.0613341,-89.86132569,0,250,soil'
47157021620,35.03236317,-89.66534062,0,250,soil'
47157001300,35.15644297,-89.95052897,0,250,soil'
47157002900,35.13709935,-89.9359376,0,250,soil'
47157006000,35.10459916,-90.0188256,0,250,soil'
47157009400,35.09920804,-89.89941218,0,250,soil'
47157021137,35.14201543,-89.78121284,0,250,soil'
47157021331,35.07881392,-89.85948108,0,250,soil'
47157980300,35.02956948,-90.19966976,0,250,soil'
47157022130,35.00066011,-90.01153333,0,250,soil'
47157022310,35.04617846,-90.08082974,0,250,soil'
47157022500,35.06123159,-90.02948127,0,250,soil'
47157021745,35.03022937,-89.80918362,0,250,soil'
47157022022,35.04987484,-90.00055813,0,250,soil'
47157021010,35.18366051,-89.69477742,0,250,soil'
47157021125,35.14985667,-89.80606467,0,250,soil'
47157021135,35.166806,-89.78659353,0,250,soil'
47157021138,35.1445805,-89.75516993,0,250,soil'
47157021333,35.07364813,-89.82923985,0,250,soil'
47157021341,35.07364319,-89.78244534,0,250,soil'
47157021410,35.10857179,-89.82865745,0,250,soil'
47157021612,35.06028032,-89.6614528,0,250,soil'
47157021724,35.05476625,-89.83499307,0,250,soil'
47157001400,35.15470469,-89.96161796,0,250,soil'
47157020300,35.33322262,-89.89529297,0,250,soil'
47157020512,35.20605858,-89.94191786,0,250,soil'
47157020524,35.23106792,-89.9401758,0,250,soil'
47157020531,35.25871217,-89.89621496,0,250,soil'
47157020532,35.2325693,-89.90763716,0,250,soil'
47157020635,35.23522172,-89.83048162,0,250,soil'
47157020643,35.23954136,-89.8531255,0,250,soil'
47157020652,35.21476728,-89.85470276,0,250,soil'
47157001700,35.15863639,-90.00427319,0,250,soil'
47157002000,35.16094956,-90.03301701,0,250,soil'
47157003200,35.13708575,-89.99690684,0,250,soil'
47157003700,35.13551925,-90.02793974,0,250,soil'
47157005300,35.09199768,-90.07534469,0,250,soil'
47157005600,35.08905636,-90.04472985,0,250,soil'
47157010630,35.05732314,-89.91454794,0,250,soil'
47157011010,35.03680315,-89.95944594,0,250,soil'
47157011100,35.17315248,-89.95668909,0,250,soil'
47157011300,35.152366,-90.04174291,0,250,soil'
47157011400,35.13656165,-90.04553859,0,250,soil'
47157011600,35.12050479,-90.03974012,0,250,soil'
47157006200,35.11748755,-90.01102667,0,250,soil'
47157008200,35.0867862,-89.94136075,0,250,soil'
47157008900,35.18736442,-89.93047984,0,250,soil'
47157009200,35.14046782,-89.8815792,0,250,soil'
47157010110,35.21728521,-90.01036014,0,250,soil'
47157006500,35.10433166,-89.99749017,0,250,soil'
47157007300,35.12097501,-89.93638159,0,250,soil'
47157020101,35.2850303,-90.07730698,0,250,soil'
47157020210,35.3664289,-89.88380595,0,250,soil'
47157007822,35.07935786,-90.02741751,0,250,soil'
47157020222,35.29509702,-89.87852501,0,250,soil'
47157020644,35.24525829,-89.86803192,0,250,soil'
47157020700,35.3385288,-89.78877291,0,250,soil'
47157020831,35.2108993,-89.74690409,0,250,soil'
47157020900,35.28407208,-89.67137766,0,250,soil'
47157021124,35.16015249,-89.82537812,0,250,soil'
47157021126,35.16615265,-89.80270177,0,250,soil'
47157021141,35.18774011,-89.76553577,0,250,soil'
47157021142,35.19245756,-89.77968082,0,250,soil'
47157021311,35.11488743,-89.85500367,0,250,soil'
47157010300,35.24915793,-89.98289595,0,250,soil'
47157010620,35.05797151,-89.92721126,0,250,soil'
47157010810,35.05638405,-89.89638108,0,250,soil'
47157010820,35.05562407,-89.87586029,0,250,soil'
47157011200,35.16534761,-90.01462258,0,250,soil'
47157009500,35.09547768,-89.88486326,0,250,soil'
47157021113,35.19817001,-89.80043205,0,250,soil'
47157008700,35.15544543,-89.91674711,0,250,soil'
47157009100,35.17264878,-89.90982619,0,250,soil'
47157009600,35.11809648,-89.88107193,0,250,soil'
47157003100,35.13294463,-89.97976434,0,250,soil'
47157003400,35.13760345,-90.00776773,0,250,soil'
47157003600,35.13886876,-90.01717635,0,250,soil'
47157006600,35.11986074,-89.98458971,0,250,soil'
47157006700,35.11341275,-89.97538411,0,250,soil'
47157007400,35.11185284,-89.93589831,0,250,soil'
47157007810,35.09208887,-90.00490476,0,250,soil'
47157007821,35.07987963,-90.00721964,0,250,soil'
47157005500,35.09389736,-90.05936738,0,250,soil'
47157005700,35.10422713,-90.04105574,0,250,soil'
47157009300,35.09828585,-89.90908035,0,250,soil'
47157006300,35.12046231,-89.997566,0,250,soil'
47157008110,35.08389346,-89.9791002,0,250,soil'
47157008500,35.12018637,-89.9119318,0,250,soil'
47157000900,35.16489687,-89.9752303,0,250,soil'
47157001100,35.16741484,-89.94108112,0,250,soil'
47157001600,35.15135537,-89.9898386,0,250,soil'
47157009901,35.22672011,-90.03325207,0,250,soil'
47157010000,35.23522444,-89.99392108,0,250,soil'
47157010120,35.20050512,-90.01588411,0,250,soil'
47157020622,35.19488828,-89.85653623,0,250,soil'
47157020633,35.22251385,-89.82523265,0,250,soil'
47157021342,35.05824451,-89.78354259,0,250,soil'
47157021351,35.10062602,-89.797062,0,250,soil'
47157021353,35.08368208,-89.7470405,0,250,soil'
47157021520,35.01822409,-89.71157323,0,250,soil'
47157021540,35.0839018,-89.69871515,0,250,soil'
47157004500,35.12853598,-90.03945116,0,250,soil'
47157008000,35.10045654,-89.93998311,0,250,soil'
47157020400,35.34569263,-89.8670633,0,250,soil'
47157009700,35.08218398,-89.90986152,0,250,soil'
47157010500,35.06419548,-89.94150984,0,250,soil'
47157011500,35.11515297,-90.02372756,0,250,soil'
47157020102,35.34536264,-89.99245796,0,250,soil'
47157003800,35.14161346,-90.02825665,0,250,soil'
47157003900,35.14425697,-90.03850229,0,250,soil'
47157005000,35.12142915,-90.0510664,0,250,soil'
47157020810,35.34157001,-89.69951193,0,250,soil'
47157021121,35.17786458,-89.81475408,0,250,soil'
47157021200,35.15693776,-89.86695955,0,250,soil'
47157021352,35.09244704,-89.77803082,0,250,soil'
47157022121,35.01380278,-90.02249204,0,250,soil'
47157021613,35.06250463,-89.64821192,0,250,soil'
47157021710,35.07214086,-89.8739707,0,250,soil'
47157021731,35.04271298,-89.8760737,0,250,soil'
47157021732,35.04264938,-89.85575273,0,250,soil'
47157021744,35.03839688,-89.82309006,0,250,soil'
47157021754,35.01308373,-89.83986029,0,250,soil'
47157002100,35.1599388,-90.04451564,0,250,soil'
47157002400,35.15119333,-90.02663465,0,250,soil'
47157980200,35.10231087,-90.13201529,0,250,soil'
47157980400,35.13604839,-89.83304534,0,250,soil'
47157022210,35.03703112,-90.11627336,0,250,soil'
47157022330,35.02814923,-90.08383985,0,250,soil'
47157022410,35.00753103,-90.09266706,0,250,soil'
47157980100,35.05341405,-89.9712289,0,250,soil'
47157021900,35.00911192,-89.96189501,0,250,soil'
47157022023,35.05372957,-90.01830087,0,250,soil'
47157022122,35.0137141,-89.99872102,0,250,soil'
47157021334,35.0605175,-89.82379998,0,250,soil'
47157021320,35.09218354,-89.85102975,0,250,soil'
47157020511,35.20540393,-89.96020797,0,250,soil'
47157000600,35.1813429,-89.99316654,0,250,soil'
47157002500,35.15066248,-90.01599078,0,250,soil'
47157007000,35.11169509,-89.95615536,0,250,soil'
47157008600,35.14001684,-89.91323143,0,250,soil'
47157010220,35.20221872,-89.98204003,0,250,soil'
47157020541,35.21430156,-89.90988817,0,250,soil'
47157020832,35.23373762,-89.77008168,0,250,soil'
47157021510,35.0213642,-89.77775595,0,250,soil'
47157021753,35.00000089,-89.83961311,0,250,soil'
47157020221,35.29376119,-89.95614451,0,250,soil'
47157021741,35.02766363,-89.8616037,0,250,soil'
47157002800,35.14416349,-89.95780634,0,250,soil'
47157021430,35.08778046,-89.82211545,0,250,soil'
47157021747,35.0263586,-89.84111263,0,250,soil'
47157022112,35.02824585,-90.00095024,0,250,soil'
47157022600,35.01905058,-89.89924823,0,250,soil'
47157021139,35.11600724,-89.75995947,0,250,soil'
47157020820,35.24356722,-89.6993211,0,250,soil'
47157021122,35.16069426,-89.84773045,0,250,soil'
47157007200,35.12211453,-89.95348469,0,250,soil'
47157008120,35.08695753,-89.96176259,0,250,soil'
47157010210,35.22570021,-89.97791697,0,250,soil'
47157011020,35.04039461,-89.94535685,0,250,soil'
47157004300,35.12986889,-90.06462531,0,250,soil'
47157020634,35.21727426,-89.84194938,0,250,soil'
47157021020,35.1265333,-89.68713107,0,250,soil'
47157000100,35.17315069,-90.05155882,0,250,soil'
